environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,idle_rate,risk_adjusted_score,gym_pybullet_drones_version,pybullet_version
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,610,12000,-9.023,0.4,78.63333333333334,22.97559520000505,12000,719,12.612563500006218,10.363031699998828,0.6447762320264402,0.0,0.0011346076,0.0013885905565964,197.0,0.6,0.3386111111111111,0.0238888888888888,0.5333333333333333,0.3230773406843368,0.6769226593156631,0.0,0.3230773406843368,0.0267712709975395,0.4066294832140226,0.0828027878153209,508.6747643678161,462.625,197.0,985.0,5516.0,12000,-9.023,12000,1.0510469583338515,-4.136133333333333,0.2,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,611,12000,-9.243999999999998,0.4,74.7,21.626381199996104,12000,719,12.24830629999633,9.378074899999774,0.6663445079082928,0.0,0.27496904,1.2749465664582031,193.0,0.6,0.3505555555555555,0.0391414141414141,0.4666666666666667,0.3921993244433264,0.6078006755566735,0.0,0.3921993244433264,0.0390536269731755,0.4743169739717612,0.4374930140194336,491.3587393673578,458.12500000000006,193.0,965.0,5404.0,12000,-9.243999999999998,12000,1.0206921916663607,-3.510100000000001,0.2966666666666666,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,612,12000,-10.190666666666669,0.4666666666666667,68.2,23.75891990000673,12000,719,13.25655560001178,10.502364299994952,0.6429851556882507,0.0,0.14053729,0.3844802135925728,196.0,0.5333333333333333,0.4101851851851851,0.0439414098972922,0.4333333333333333,0.4136261275885285,0.5863738724114714,0.0,0.4136261275885285,0.0285746111746767,0.5224541042870182,0.2319735572086796,591.6316228213508,476.275,196.0,980.0,5488.0,12000,-10.190666666666669,12000,1.1047129666676485,-5.453566666666666,0.2066666666666667,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,613,12000,-4.871,0.7,42.16666666666666,21.23123840000335,12000,719,12.53218889999698,8.699049500006367,0.6597968885024825,0.0,0.7260315,3.750605110094102,200.0,0.3,0.2730555555555555,0.0044444444444444,0.3333333333333333,0.538642379638478,0.4613576203615219,0.0,0.538642379638478,0.0093378974626803,0.6486290268635281,0.5188925664419762,665.5495940999139,460.7,200.0,1000.0,5600.0,12000,-4.871,12000,1.0443490749997484,-3.7449333333333343,0.3333333333333333,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,614,12000,-2.3713333333333333,0.4666666666666667,66.2,23.132886499995948,12000,719,12.831986700002744,10.300899799993203,0.6516328295573255,0.0,0.011173929,0.0345428336062806,195.0,0.5333333333333333,0.1216666666666666,0.0033333333333333,0.2666666666666666,0.5388026745043123,0.4611973254956876,0.0,0.5388026745043123,0.0258061337596764,0.6836037213293052,0.1332994091815431,477.6081388888889,455.375,195.0,975.0,5460.0,12000,-2.3713333333333333,12000,1.0693322250002286,-3.329633333333334,0.21,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,615,12000,-4.039666666666665,0.6333333333333333,51.2,21.96051439999428,12000,719,12.857698500003607,9.102815899990674,0.6467848883508439,0.0,0.53739136,0.5807674370504603,198.0,0.3666666666666666,0.2260410830999066,0.025,0.3666666666666666,0.4666597664248461,0.5333402335751539,0.0,0.4666597664248461,0.0474255755275859,0.5691684961806159,0.3266352255465259,529.3418134920635,469.4500000000001,198.0,990.0,5544.0,12000,-4.039666666666665,12000,1.0714748750003007,-1.6509666666666667,0.3266666666666667,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,616,12000,-12.775,0.4666666666666667,66.9,21.57488639999792,12000,719,13.246601400001964,8.328284999995958,0.6826097690264772,0.0,0.4781358,3.182821033860061,199.0,0.5333333333333333,0.5048789173789173,0.0033333333333333,0.5333333333333333,0.3809264915063607,0.6190735084936392,0.0,0.3809264915063607,0.0132197393455696,0.4623669168070167,0.5758081850933146,462.5344736467236,449.1,199.0,995.0,5572.0,12000,-12.775,12000,1.1038834500001635,-4.9076,0.4033333333333334,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,617,12000,-3.976333333333332,0.6333333333333333,48.13333333333333,21.096977699999115,12000,719,12.70300159999897,8.393976100000145,0.6660899894630364,0.0,0.962933,3.0867740698541857,198.0,0.3666666666666666,0.2213888888888888,0.034047619047619,0.4,0.4805582152001703,0.5194417847998296,0.0,0.4805582152001703,0.033833845828719,0.5732640014468473,0.5571524055293471,596.4354285714286,479.725,198.0,990.0,5544.0,12000,-3.976333333333332,12000,1.0585834666665808,-2.900399999999999,0.3966666666666666,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,618,12000,-2.9913333333333343,0.4666666666666667,73.76666666666667,22.54152420000173,12000,719,12.339640400001372,10.20188380000036,0.6547613410087133,0.0,0.0030592903,0.0030201812777433,194.0,0.5333333333333333,0.1400641025641025,0.006235827664399,0.4,0.4133600155257853,0.5866399844742146,0.0,0.4133600155257853,0.0503737695105468,0.5232270574104586,0.1021697157962045,561.9928828394461,459.25,194.0,970.0,5432.0,12000,-2.9913333333333343,12000,1.028303366666781,-2.2026333333333343,0.1966666666666666,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,619,12000,-10.388333333333332,0.4,77.76666666666667,22.793700800000806,12000,719,13.038783399999376,9.754917400001432,0.6442243809024684,0.0,0.05319605,1.1442389720730943,199.0,0.6,0.3926867413632119,0.0008333333333333,0.5,0.3737693092789056,0.6262306907210944,0.0,0.3737693092789056,0.0127162965646201,0.45363783243377,0.4191027906928155,502.5046914098973,468.7000000000001,199.0,995.0,5572.0,12000,-10.388333333333332,12000,1.0865652833332813,-3.7015333333333342,0.2533333333333333,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,620,12000,-1.037000000000001,0.4333333333333333,77.86666666666666,21.419273400002567,12000,719,12.294957999991311,9.124315400011255,0.6448991147313627,0.0,0.56524944,2.361048462976918,198.0,0.5666666666666667,0.0563888888888888,0.0119934640522875,0.3333333333333333,0.5104999697972842,0.4895000302027158,0.0,0.5104999697972842,0.0205316912094927,0.6119932249850453,0.4764759116906167,512.2151761957088,463.025,198.0,990.0,5544.0,12000,-1.037000000000001,12000,1.0245798333326093,-2.9670666666666663,0.29,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,621,12000,-1.0766666666666656,0.7333333333333333,38.43333333333333,21.71073679999972,12000,719,12.527076700011094,9.183660099988629,0.649170014221238,0.0,1.1106555,3.421246942120427,200.0,0.2666666666666666,0.1475,0.0005555555555555,0.3333333333333333,0.528779557923817,0.471220442076183,0.0,0.528779557923817,0.0164143038222016,0.6162371027411438,0.5678853641954469,444.6952616959064,416.3250000000001,200.0,1000.0,5600.0,12000,-1.0766666666666656,12000,1.0439230583342578,-2.530766666666667,0.27,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,622,12000,-9.048333333333334,0.5666666666666667,55.93333333333333,22.39064099999814,12000,719,12.771614899997076,9.619026100001063,0.6593225730206971,0.0,0.09454639,0.813708951488166,192.0,0.4333333333333333,0.3902777777777778,0.0002777777777777,0.4666666666666667,0.3975284778791241,0.6024715221208758,0.0,0.3975284778791241,0.0196106300862982,0.4869652043976695,0.3587963078539774,655.4656666666667,478.425,192.0,960.0,5376.0,12000,-9.048333333333334,12000,1.064301241666423,-3.2560000000000007,0.28,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,623,12000,-1.8953333333333335,0.5666666666666667,57.43333333333333,21.959002299998247,12000,719,12.547099099996558,9.411903200001689,0.6382458571574687,0.0,0.24483302,1.0168327800329056,199.0,0.4333333333333333,0.1294444444444444,0.020530303030303,0.3,0.5349905813336603,0.4650094186663397,0.0,0.5349905813336603,0.0140567179059564,0.6609399933325043,0.3387217528651094,555.6196405440965,466.1,199.0,995.0,5572.0,12000,-1.8953333333333335,12000,1.0455915916663798,-3.807133333333333,0.2633333333333333,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,624,12000,-2.3600000000000003,0.4333333333333333,71.5,21.63937920000172,12000,719,12.57041880001634,9.068960399985372,0.6443864662529644,0.0,0.14565545,0.8401807079739334,196.0,0.5666666666666667,0.1122222222222222,0.0086111111111111,0.4027777777777778,0.4332342180987234,0.5667657819012766,0.0,0.4332342180987234,0.0358642150204042,0.5218183133969763,0.3767467398487543,586.7282281323877,465.1,196.0,980.0,5488.0,12000,-2.3600000000000003,12000,1.0475349000013616,-3.7234,0.2599999999999999,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,625,12000,-0.4389999999999995,0.8333333333333334,25.0,20.436099600003217,12000,719,12.678843700006835,7.75725589999638,0.6642242775103422,0.0,0.58096766,2.59187712345896,196.0,0.1666666666666666,0.1552777777777777,0.0086111111111111,0.2333333333333333,0.6152583767006423,0.3847416232993577,0.0,0.6152583767006423,0.0278724796138691,0.7398810504438529,0.4645908918407561,484.5938611111111,463.975,196.0,980.0,5488.0,12000,-0.4389999999999995,12000,1.0565703083339029,-1.4580666666666668,0.42,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,626,12000,-3.272,0.7666666666666667,35.233333333333334,20.57180750000407,12000,719,12.555005299989716,8.016802200014354,0.6628539819939945,0.0,0.3008212,2.1763829631938973,198.0,0.2333333333333333,0.2417791842475386,0.0716414141414141,0.2523206751054852,0.5973225219503495,0.4026774780496505,0.0,0.5973225219503495,0.0388665178494038,0.7212499412427072,0.4512898407287241,485.1202053445851,459.625,198.0,990.0,5544.0,12000,-3.272,12000,1.0462504416658096,-3.922233333333333,0.4,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,627,12000,-10.215333333333332,0.5333333333333333,61.3,20.21522229999391,12000,719,12.647422099988034,7.567800200005877,0.655289845242627,0.0,0.29999384,2.553895079155628,199.0,0.4666666666666667,0.4256481481481481,0.0169841269841269,0.5,0.3979163080034828,0.6020836919965172,0.0,0.3979163080034828,0.0204194037020552,0.476252408490752,0.5573994147462856,489.905395909646,457.025,199.0,995.0,5572.0,12000,-10.215333333333332,12000,1.0539518416656697,-2.5451,0.4433333333333334,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,628,12000,-8.754,0.4,80.16666666666667,21.873181200004183,12000,719,12.809766400008812,9.063414799995371,0.6439667822459514,0.0,0.0041293195,0.0405982069643642,199.0,0.6,0.3399474157479084,0.0201490829323341,0.4333333333333333,0.4153122595037637,0.5846877404962362,0.0,0.4153122595037637,0.0219147642529238,0.5296106719087944,0.1030728770104447,486.2096272435349,455.6,199.0,995.0,5572.0,12000,-8.754,12000,1.0674805333340676,-1.7577333333333336,0.3033333333333333,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
ApplicationNavigation-deployment-goal-shift,fuzzy_support_adaptive,629,12000,0.2430000000000004,0.5,65.6,22.43563559999893,12000,719,12.578751499997452,9.85688410000148,0.6446219427809815,0.0,0.13829315,0.4499131963555053,196.0,0.5,0.0219444444444444,0.0407777777777777,0.5,0.3855991821285531,0.6144008178714468,0.0,0.3855991821285531,0.0170514938941812,0.4739671440085311,0.2965305447984143,533.3326611111111,476.8250000000001,196.0,980.0,5488.0,12000,0.2430000000000004,12000,1.0482292916664544,-3.6138333333333335,0.2,asoc_application_navigation_case_study,configs/application_navigation_case_study.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,b292c8d64b1f8ecb5c1db0717979cb6deec5480c,1.3.0,3.14.3,2.11.0+cpu,2.4.3,1.3.0,3.1.0,,,,
